flag,flag_updated,ship_count
,,119
Algeria,Algeria,3
Angola,Angola,2
Antigua and Barbuda,Antigua and Barbuda,21
Australia,Australia,1
Bahamas,Bahamas,12
Bahrain,Bahrain,38
Bangladesh,Bangladesh,2
Barbados,Barbados,7
Belize,Belize,38
Bolivia (Plurinational State of),Bolivia,8
Brazil,Brazil,3
Bulgaria,Bulgaria,1
Cabo Verde,Cabo Verde,1
Cambodia,Cambodia,7
Cameroon,Cameroon,56
Cayman Islands,Cayman Islands,2
China,China,9
Colombia,Colombia,1
Comoros,Comoros,98
Cook Islands,Cook Islands,18
Croatia,Croatia,3
Curaçao,Curaçao,2
Cyprus,Cyprus,7
Democratic People's Republic of Korea,Democratic People's Republic of Korea,3
Democratic Republic of the Congo,Democratic Republic of the Congo,2
Denmark,Denmark,2
Djibouti,Djibouti,1
Dominica,Dominica,9
Ecuador,Ecuador,1
Egypt,Egypt,1
Equatorial Guinea,Equatorial Guinea,3
Estonia,Estonia,1
Eswatini,Eswatini,1
Finland,Finland,1
France,France,1
Gabon,Gabon,4
Gambia,Gambia,6
Georgia,Georgia,4
Germany,Germany,4
Gibraltar,Gibraltar,2
Greece,Greece,4
Guinea,Guinea,2
Guinea-Bissau,Guinea-Bissau,7
Guyana,Guyana,2
Honduras,Honduras,2
Hong Kong Special Administrative Region,Hong Kong,3
India,India,16
Indonesia,Indonesia,6
Iran (Islamic Republic of),Iran,42
Isle of Man,Isle of Man,1
Italy,Italy,6
Jamaica,Jamaica,1
Kenya,Kenya,4
Kiribati,Kiribati,1
Kuwait,Kuwait,1
Latvia,Latvia,1
Lebanon,Lebanon,4
Liberia,Liberia,74
Libya,Libya,3
Malaysia,Malaysia,13
Malta,Malta,27
Marshall Islands,Marshall Islands,28
Mauritania,Mauritania,2
Mauritius,Mauritius,3
Mexico,Mexico,2
Mongolia,Mongolia,23
Montenegro,Montenegro,1
Morocco,Morocco,7
Namibia,Namibia,2
Netherlands (Kingdom of the),Netherlands,2
Nicaragua,Nicaragua,1
Nigeria,Nigeria,5
Niue,Niue,2
Oman,Oman,3
Palau,Palau,85
Panama,Panama,338
Philippines,Philippines,2
Portugal,Portugal,5
Qatar,Qatar,1
Republic of Korea,Republic of Korea,9
Republic of Moldova,Republic of Moldova,5
Russian Federation,Russian Federation,7
Saint Kitts and Nevis,Saint Kitts and Nevis,84
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,40
Samoa,Samoa,2
San Marino,San Marino,3
Sao Tome and Principe,Sao Tome and Principe,7
Saudi Arabia,Saudi Arabia,6
Senegal,Senegal,3
Sierra Leone,Sierra Leone,33
Singapore,Singapore,8
Slovakia,Slovakia,1
Spain,Spain,3
Sri Lanka,Sri Lanka,1
Syrian Arab Republic,Syrian Arab Republic,2
Togo,Togo,48
Tuvalu,Tuvalu,3
Türkiye,Türkiye,11
Ukraine,Ukraine,9
United Arab Emirates,United Arab Emirates,17
United Kingdom of Great Britain and Northern Ireland,England,1
United Republic of Tanzania,United Republic of Tanzania,109
United States of America,United States of America,7
Uruguay,Uruguay,1
Vanuatu,Vanuatu,15
Viet Nam,Viet Nam,2
Zambia,Zambia,1
