Port of abandonment~Ships affected~lat~long
Bandar Abbas, Iran (Islamic Republic of)~18~27.1842~56.2893
Bushehr, Iran (Islamic Republic of)~14~28.8937~51.3205
Khorramshahr, Iran (Islamic Republic of)~5~30.4748~48.2429
Rotterdam, Netherlands (Kingdom of the)~5~51.9244~4.4778
Sharjah Anchorage, United Arab Emirates~5~25.3606~56.3135
Sharjah anchorage, United Arab Emirates~5~25.3606~56.3135
Amuay Bay, Venezuela (Bolivarian Republic of)~4~11.7749~-70.2408
Kish, Iran (Islamic Republic of)~4~26.5361~53.9688
Port Sudan, South Sudan~4~19.6192~37.2117
Assaluyeh, Iran (Islamic Republic of)~3~27.3541~52.6028
Bandar Imam Khomeini, Iran (Islamic Republic of)~3~27.2097~56.3519
Istanbul anchorage, Türkiye~3~41.0064~28.9759
Puerto Cabello, Venezuela (Bolivarian Republic of)~3~10.4678~-68.0437
Punta Cardon, Venezuela (Bolivarian Republic of)~3~11.6175~-70.2117
Asaluyah, Iran (Islamic Republic of)~2~27.3541~52.6028
Busher, Iran (Islamic Republic of)~2~28.8937~51.3205
CharlestonSouth CarolinaUSA, United States of America~2~32.7884~-79.9399
Currently en-route to Khor Fakkan, United Arab Emirates~2~25.3492~56.3478
Lengeh, Iran (Islamic Republic of)~2~26.5621~54.8838
MiamiUSA, United States of America~2~25.7742~-80.1936
Puerto La Cruz, Venezuela (Bolivarian Republic of)~2~10.2029~-64.6308
Salman Bay, Jeddah, Saudi Arabia~2~21.5504~39.1742
Suez Anchorage, Egypt~2~29.9745~32.5371
Vessel underway to Khor Fakkan, United Arab Emirates~2~25.3492~56.3478
Abu Al Kashib, Iraq~1~30.4475~47.9758
Aden anchorage, Yemen~1~12.7896~45.0285
Ajdabiya, Egypt~1~30.7550~20.2234
Ajman Anchorage, United Arab Emirates~1~24.8075~56.0695
Amasra Offshore, Türkiye~1~41.7489~32.3867
Amuay, Venezuela (Bolivarian Republic of)~1~11.7749~-70.2408
Anchorage Batam, Indonesia~1~1.1031~104.0384
Anchorage in Ceuta, Spain~1~35.8884~-5.3041
Anchorage, Tanjung Priok, Jakarta, Indonesia~1~-6.1289~106.8708
Anchored 68 miles outside Mersa Teklay, Eritrea~1~15.6032~39.4637
Aoshanwan, China~1~36.0663~120.3778
Aruba Anchorage, Aruba, Netherlands (Kingdom of the)~1~12.5201~-70.0371
Assaluyah, Iran (Islamic Republic of)~1~27.3541~52.6028
At anchorage in Cristobal, Panama~1~9.2579~-79.9072
At anchorage near the coast of Malaysia, Malaysia~1~5.2266~100.4505
Baltimore MDUSA, United States of America~1~39.2909~-76.6108
Bandar Dayyer, Iran (Islamic Republic of)~1~27.8412~51.9372
Bandar e Lengeh, Iran (Islamic Republic of)~1~26.5621~54.8838
Bissau anchorage, Guinea-Bissau~1~11.8613~-15.5831
Boca Grande II, Venezuela (Bolivarian Republic of)~1~10.4775~-62.8269
Bolnes, Netherlands (Kingdom of the)~1~51.8917~4.5819
Bolnes, Rotterdam, Netherlands (Kingdom of the)~1~51.8917~4.5819
Burgas anchorage, Bulgaria~1~42.4937~27.4721
Busan Anchorage, Republic of Korea~1~35.1800~129.0752
Bushehr Port, Iran (Islamic Republic of)~1~28.8937~51.3205
Bushehr port, Iran (Islamic Republic of)~1~28.8937~51.3205
Calabar anchorage, Nigeria~1~4.9796~8.3374
Campha Anchorage, Viet Nam~1~21.0096~107.2729
Carr (US GulfUSA), United States of America~1~29.9473~-90.1296
Conakry, Papua New Guinea~1~9.5171~-13.6998
Constanta Anchorage Area~1~44.1767~28.6508
Cotonou anchorage, Benin~1~6.3677~2.4253
Currently en-route to Assaluyeh, Iran (Islamic Republic of)~1~27.3541~52.6028
Danube River, Galati, Romania~1~45.4338~28.0549
Dayyer Anchorage, Iran (Islamic Republic of)~1~27.8412~51.9372
Dayyer, Iran (Islamic Republic of)~1~27.8412~51.9372
Djen Djen anchorage, Algeria~1~36.7292~5.9608
Djibouti Anchorage, Djibouti~1~11.8146~42.8453
Dongjiakou Anchorage (OPL), Qingdao, China~1~36.0663~120.3778
Drifting near Curacao, Curaçao~1~12.2135~-69.0409
Drifting outside Kandla Port, India~1~23.0047~70.2163
Dubai anchorage, United Arab Emirates~1~25.0743~55.1885
El Guamache anchorage, Venezuela (Bolivarian Republic of)~1~10.8955~-64.0648
En route to Bartin Port, Türkiye~1~41.4948~32.4354
En route to Bourgas, Bulgaria~1~42.4937~27.4721
En route to Samsun Port, Türkiye~1~41.2304~35.9683
En-route to Alexandria, Egypt~1~31.1992~29.8952
En-route to Constanza, Romania~1~44.1767~28.6508
En-route to Port Tewfik, Egypt~1~29.9745~32.5371
En-route to Port of Bosaso, Somalia~1~11.0026~49.4107
En-route to Sakaimina, Japan~1~35.5392~133.2319
En-route to Sharjah, United Arab Emirates~1~25.3606~56.3135
En-route to Umm qasr, Iraq~1~30.0323~47.9215
Enroute Beirut, Lebanon~1~33.8892~35.5026
Enroute to Baniyas, Syrian Arab Republic~1~35.1851~35.9478
Enroute to Fujairah, United Arab Emirates~1~25.4147~56.2314
Enroute to Port Said, Egypt~1~31.2632~32.3055
Enroute to Samsun, Türkiye~1~41.2304~35.9683
Enroute to Sao Sebastiao, Brazil~1~-23.8028~-45.4071
En‐route to San Lorenzo, Argentina~1~-32.7455~-60.7431
Eregli, Turkiye, Türkiye~1~37.5141~34.0473
Famagusta anchorage, Cyprus~1~35.1205~33.9388
Fhor Fakkan,  (Red sea), United Arab Emirates~1~25.3492~56.3478
Freeport anchorage, Bahamas~1~26.5357~-78.6954
Freetown anchorage, Sierra Leone~1~8.4790~-13.2680
Fujairah Anchorage, United Arab Emirates~1~25.4147~56.2314
Fuzhou anchorage, China~1~26.0775~119.2918
Georgetown anchorage, Guyana~1~6.8033~-58.1455
Gonviales, Haiti~1~19.4461~-72.6884
Gravendeel, Netherlands (Kingdom of the)~1~51.7807~4.6199
Guandong shipyard, Guangzhou, China~1~23.1288~113.2590
Guanta, Venezuela (Bolivarian Republic of)~1~10.2338~-64.5932
Guishan Anchorage, China~1~29.9873~122.2030
Gulluk Anch, Türkiye~1~38.4695~40.9018
Gulluk anch, Türkiye~1~38.4695~40.9018
Hai Long, Vietnam, Viet Nam~1~20.9084~107.0683
Hamriyah Free Zone Port, United Arab Emirates~1~25.4597~55.4804
Hamriyya, United Arab Emirates~1~25.4597~55.4804
Hansweert, Netherlands (Kingdom of the)~1~51.4491~4.0037
Harlingen, Netherlands (Kingdom of the)~1~53.1752~5.4142
Hereke, Turkey, Türkiye~1~40.7841~29.6163
Ho Chi Minh Port, Viet Nam~1~10.7737~106.7166
Hodaydah, Yemen~1~14.7979~42.9545
Ijmuiden, Netherlands (Kingdom of the)~1~52.4574~4.6116
Istanbul Anchorage, Türkiye~1~41.0064~28.9759
Istanbul North Anchorage, Türkiye~1~41.0064~28.9759
Johor Anchorage, Malaysia~1~1.4582~103.7649
Johor Eopl Anchorage, Malaysia~1~1.4582~103.7649
Jubail naval anchorage, Saudi Arabia~1~27.0007~49.6532
Kamsar Port, Guinea~1~10.6644~-14.5833
Kaohsiung anchorage, Taiwan~1~22.6203~120.3120
Karachi OPL, Pakistan~1~24.8547~67.0207
Karaika, India~1~16.9437~82.2351
Kartal anchorage, Türkiye~1~40.8886~29.1857
Kavkaz anchorage, Russian Federation~1~43.1727~42.6797
Kerch anchorage, Russian Federation~1~45.3563~36.4671
Kharg Island, Iran (Islamic Republic of)~1~29.2406~50.3117
Khor Fakkan anchorage, United Arab Emirates~1~25.3492~56.3478
Kish Island, Iran (Islamic Republic of)~1~26.5361~53.9688
Kish Port, Iran (Islamic Republic of)~1~26.5361~53.9688
Konta, Papua New Guinea~1~-6.7302~147.0008
Kuantan Anchorage, Malaysia~1~3.7974~103.3219
Kumkapi Anchorage, Türkiye~1~40.9919~28.7712
La Guaira, Venezuela (Bolivarian Republic of)~1~10.5803~-66.8603
Las Palmas (Spain), Spain~1~28.0744~-15.4514
Las Palmas, Anchorage area, Spain~1~28.0744~-15.4514
Macapa anchorage, Brazil~1~0.0402~-51.0570
Male anchorage, Maldives~1~4.1780~73.5107
Malta Anchorages, Malta~1~35.8990~14.5137
Marabahan, Banjarmasin, Indonesia~1~-3.3187~114.5926
Misuarta, Libya~1~32.3746~15.0906
Montevideo Anchorage, Uruguay~1~-34.9059~-56.1913
Mumbai Anchorage, India~1~19.0550~72.8692
Mumbai Seaport, PNV Anchorage, India~1~19.0550~72.8692
Mumbai anchorage, India~1~19.0550~72.8692
Muscat, Sohar(from 27 July 2016), Oman~1~23.6124~58.5938
Nakhodka Anchorage, Russian Federation~1~42.8246~132.8926
Nghe Tinh anchorage, Viet Nam~1~19.1976~105.0607
Ningde Anchorage, China~1~27.0143~119.4386
Ningde anchorage, China~1~27.0143~119.4386
Nouadhibou anchorage, Mauritania~1~20.9127~-17.0503
Off Limbe, Cameroon~1~4.0103~9.2071
Off New Mangalore, India~1~12.8698~74.8430
Oranjestad anchorage, Aruba, Netherlands (Kingdom of the)~1~12.5201~-70.0371
Papendrecht, Netherlands (Kingdom of the)~1~51.8347~4.7047
PhiladelphiaUSA, United States of America~1~39.9527~-75.1635
Pipavav Bhav Nagar, India~1~20.9389~71.4770
Port Asaluyah, Iran (Islamic Republic of)~1~27.3541~52.6028
Port Hydob, South Sudan~1~19.6192~37.2117
Port Said Anchorage, Egypt~1~31.2632~32.3055
Port Said anchorage, Egypt~1~31.2632~32.3055
Port Tanaqib, Saudi Arabia~1~26.7074~50.0674
Port Tewfiq, Egypt~1~29.9745~32.5371
Qingdao anchorage, China~1~36.0663~120.3778
Rak Maritime City, United Arab Emirates~1~25.7738~55.9382
Recalada anchorage, Argentina~1~-34.6096~-58.3888
Reni anchorage, Ukraine~1~45.4554~28.2791
SAlman Bay, Jeddah, Saudi Arabia~1~21.5504~39.1742
Salalah Anchorage, Romania~1~17.0175~54.1011
Salalah Port, Oman~1~17.0175~54.1011
Salalah port anchorage, Romania~1~17.0175~54.1011
Salalah, Romania~1~17.0175~54.1011
Samsun Anch, Türkiye~1~41.2304~35.9683
Samsun anchorage, Türkiye~1~41.2304~35.9683
Santo Domingo anchorage, Dominican Republic~1~18.4714~-69.8918
Sawakin Digna anchorage, Sudan~1~19.1019~37.3286
Sawakin Port, South Sudan~1~19.1019~37.3286
Scheveningen anchorage, Netherlands (Kingdom of the)~1~52.1067~4.2737
Semarang Shipyard, Indonesia~1~-6.9904~110.4229
Sharjah Alpha Anchorage, United Arab Emirates~1~25.3606~56.3135
Sharjah Hamriya Port  off 12 nautical mile in anchorage, United Arab Emirates~1~25.4597~55.4804
Sharjah Hamriya anchorage, United Arab Emirates~1~25.4597~55.4804
Shuaiba Anchorage, Kuwait~1~29.3533~47.9521
Singapore anchorage, Singapore~1~1.3571~103.8195
Skagen anchorage, Denmark~1~57.7260~10.5845
Sohar OLP anchorage, Romania~1~24.3420~56.7298
Sohar, Romania~1~24.3420~56.7298
South Lamma Anchorage, Hong Kong Special Administrative Region~1~22.2095~114.1497
Sriracha anchorage, Thailand~1~13.1675~100.9281
Suakin Port, South Sudan~1~19.1019~37.3286
Suakin, South Sudan~1~19.1019~37.3286
Suez Canal anchorage, Egypt~1~30.6044~32.2771
Suez South Anchorage, Egypt~1~29.9745~32.5371
Suez South OPL anchorage, Egypt~1~29.9745~32.5371
Suez anchorage, Egypt~1~29.9745~32.5371
Taressa, Conakry, Guinea~1~9.5171~-13.6998
Tekirdag anchorage, Türkiye~1~41.0731~27.4102
Tema (anchorage), Ghana~1~5.6596~-0.0097
Thessaloniki Anchorage, Greece~1~40.6403~22.9353
Trkkc East Ayazli, Türkiye~1~41.0731~27.4102
Uniye Anchorage, Türkiye~1~41.1262~37.2854
Vassiliko, Cyprus~1~34.7258~33.3212
Vessel is still sailing, currently en-route to Las Palmas., Spain~1~28.0744~-15.4514
Vung Tau Anchorage, Viet Nam~1~10.3479~107.0745
Walvis Bay anchorage area, Namibia~1~-22.9558~14.5071
Western Mindanao Naval Base, Philippines~1~6.9047~122.0765
Yalova Port, Türkiye~1~40.5795~29.1687
Zetyinburnu, Türkiye~1~40.9899~28.9037
Zhenjiang anchorage, China~1~32.1894~119.4200
Zhoushan (Xinay shipyard), China~1~29.9873~122.2030
Zhoushan inner anchorage, China~1~29.9873~122.2030
Zongaldak, Türkiye~1~41.2503~31.8390
Zwijndrecht, Netherlands (Kingdom of the)~1~51.8162~4.6405
Çanakkale Offshore, Türkiye~1~40.0550~26.9278
