port_of_abandonment,port_of_abandonment_updated,port_of_abandonment_updated,lon,ship_count
,At sea,,,32
25 NM off Hamriya Port,"Al Hamriyah, United Arab Emirates",25.2999420292377,55.3344566898913,1
"8 miles offshore from Takoradi, Ghana","Takoradi, Ghana",4.95686037667544,-1.77846537625004,1
"Aabenraa, Denmark","Aabenraa, Denmark",55.0446228,9.4209667,1
"Aberdeen, United Kingdom of Great Britain and Northern Ireland","Aberdeen, Scotland",57.1482429,-2.0928095,1
"Abidjan, Côte d'Ivoire","Abidjan, Côte d'Ivoire",5.320357,-4.016107,8
"Abu Al Kashib, Iraq","Abu Al Kashib, Iraq",30.4475,47.9758,1
"Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates",24.4538352,54.3774014,4
"Abu Qir, Egypt","Abu Qir, Egypt",31.3203016,30.0641979,2
"Adabiya, Egypt","Ajdabiya, Egypt",29.8817615471585,32.4706343505521,1
"Adelaide, Australia","Adelaide, Australia",-34.9281805,138.5999312,1
"Aden anchorage, Yemen","Aden, Yemen",12.7896,45.0285,1
"Aden, Yemen","Aden, Yemen",12.789585,45.028504,6
"Agno, Pangasinan, Philippines","Agno, Pangasinan, Philippines",16.1156627,119.799026,1
"Ajdabiya, Egypt","Ajdabiya, Egypt",30.755,20.2234,1
"Ajman Anchorage, United Arab Emirates","Ajman Port, United Arab Emirates",24.8075,56.0695,1
"Ajman Port, United Arab Emirates","Ajman Port, United Arab Emirates",25.4208346,55.4543495,1
"Al Duqm, Oman","Al Duqm, Oman",17.0254438,54.1715196,2
"Al Hamriya port, United Arab Emirates","Al Hamriyah, United Arab Emirates",25.2995316,55.334959,1
"Al Hamriya, United Arab Emirates","Al Hamriyah, United Arab Emirates",25.4816974,55.5114726,1
"Al Hamriyah, United Arab Emirates","Al Hamriyah, United Arab Emirates",25.4565135,55.5133594,4
"Al Hodeidah, Yemen","Al Hudaydah, Yemen",15.268007,42.583216,3
"Al Hudaydah, Yemen","Al Hudaydah, Yemen",15.1159326,42.844785,1
"Al Jazeera, United Arab Emirates","Al Jazeera, United Arab Emirates",25.7095495,55.8096291,2
"Alang, India","Alang, India",21.3968581,72.1774463,2
"Alat, Azerbaijan","Alat, Azerbaijan",39.9477043,49.4066384,1
"Alexandria, Egypt","Alexandria, Egypt",31.1991806,29.8951716,8
"Algeciras, Spain","Algeciras, Spain",36.1311725,-5.4473991,5
"Algiers, Algeria","Algiers, Algeria",36.764656180242900,3.0603086231588500,3
"Aliaga, Turkey","Aliaga, Turkey",38.8034265,26.9713731,3
"Alicante, Spain","Alicante, Spain",38.3436365,-0.4881708,3
"Amasra Offshore, Turkey","Amasra, Turkey",41.7489,32.3867,1
"Ambarli, Turkey","Ambarli, Turkey",37.2288376,40.2773185,1
