Port of abandonment~lat~long
Aabenraa, Denmark~55.0446228~9.4209667
Aberdeen, Scotland~57.1482429~-2.0928095
Abidjan, Côte d'Ivoire~5.320357~-4.016107
Abu Al Kashib, Iraq~30.4475~47.9758
Abu Dhabi, United Arab Emirates~24.4538352~54.3774014
Abu Qir, Egypt~31.3203016~30.0641979
Adelaide, Australia~-34.9281805~138.5999312
Aden, Yemen~12.789585~45.028504
Agno, Pangasinan, Philippines~16.1156627~119.799026
Ajdabiya, Egypt~29.8817615471585~32.4706343505521
Ajman OPL Anchorage, United Arab Emirates~25.22013~56.53324
Ajman Port, United Arab Emirates~25.4208346~55.4543495
Al Duqm, Oman~17.0254438~54.1715196
Al Hamriyah, United Arab Emirates~25.4565135~55.5133594
Al Hudaydah, Yemen~14.7978677~42.9544872
Al Jazeera, United Arab Emirates~25.7095495~55.8096291
Alang, India~21.3968581~72.1774463
Alat, Azerbaijan~39.9477043~49.4066384
Alexandria, Egypt~31.1992~29.8952
Algeciras, Spain~36.1311725~-5.4473991
Algiers, Algeria~36.764656180242916~3.0603086231588548
Aliaga, Türkiye~38.8034265~26.9713731
Alicante, Spain~38.3436365~-0.4881708
Amasra Offshore, Türkiye~41.7489~32.3867
Ambarli, Türkiye~37.2288376~40.2773185
Amuay Bay, Venezuela~11.7749~-70.2408
An-Ping, Taiwan~25.0257576~121.5266168
Ancona, Italy~43.4801189~13.2187279
Antalya, Türkiye~36.8865728~30.7030242
Antwerp, Belgium~51.2211097~4.3997081
Aqaba, Jordan~29.5266483~35.0075433
Argentia, Canada~47.2902236~-53.9917654
Aruba~12.5201~-70.0371
Arzew, Algeria~35.856348~-0.313678
Ashdod, Israel~31.7977314~34.6529922
Aspropirgos, Greece~38.0686734~23.5803401
Assaluyeh, Iran~27.3541~52.6028
Astakos, Greece~38.5355305~21.0815098
At sea~12.1463353~-68.27611
Auckland, New Zealand~-36.852095~174.7631803
Augusta, Italy~37.2369363~15.2196575
Aveiro, Portugal~40.640496~-8.6537841
Aviles, Spain~43.5554436~-5.9222466
Bahrain~26.1551249~50.5344606
Balayan, Philippines~13.9381793~120.7294945
Balboa, Panama~8.9495435~-79.5529019
Baltimore, USA~39.2909~-76.6108
Bandar Abbas, Iran~27.262208678466~56.2439403366874
Bandar Dayyer, Iran~27.8412~51.9372
Bandar Imam Khomeini, Iran~27.2097~56.3519
Bandirma, Türkiye~40.3554705~27.9697603
Bangkok, Thailand~13.7524938~100.4935089
Baniyas, Syrian Arab Republic~35.1851~35.9478
Banjul, Gambia~13.4410165~-16.5627509
Barcelona, Spain~41.3825802~2.177073
Bari, Italy~41.1257843~16.8620293
Barranquilla, Colombia~11.0101922~-74.8231794
Bartin, Türkiye~41.4947715~32.4354255
Bata, Equatorial Guinea~2.0064092~9.9087683
Batam, Indonesia~1.1030815~104.0383696
Batu Ampar, Indonesia~1.1695702~104.0106068
Bayonne, France~43.4945144~-1.4736657
Beira, Mozambique~-19.8340679~34.8358075
Beirut, Lebanon~33.8892265~35.5025585
Bejaia, Algeria~36.7511783~5.0643687
Belawan, Indonesia~-0.5791924~114.4500022
Benete, Indonesia~-8.8962512~116.7716109
Benghazi, Libya~32.1200168~20.0812174
Berbera, Somalia~10.432105~44.96172
Bhashair Oil Terminal, Sudan~30.1454906936265~48.4881544039985
Bhavnagar, India~21.7718836~72.1416449
Bilbao, Spain~43.2630018~-2.9350039
Birkenhead, England~53.3895177~-3.0248007
Bissau, Guinea-Bissau~11.861324~-15.583055
Bizerte, Tunisia~37.3086263964186~9.86176857928346
Boca Grande II, Venezuela~10.4775~-62.8269
Boffa, Guinea~10.1812281~-14.0377043
Bolnes, Netherlands~51.8917~4.5819
Boma, Democratic Republic of the Congo~-5.85~13.05
Bonny, Nigeria~4.505781~7.203466
Boulogne-sur-Mer, France~50.7224289~1.6032652
Bremerhaven, Germany~53.5505392~8.5851945
Brest, France~48.3905283~-4.4860088
Brunsbuttel, Germany~53.8972549~9.1395423
Burgas, Bulgaria~42.4936616~27.4721276
Busan, Republic of Korea~35.1799528~129.0752365
Bushehr, Iran~28.8937~51.3205
Cadiz, Spain~36.5297438~-6.2928976
Cagliari, Italy~39.2450015733255~9.12549131234656
Calabar, Nigeria~4.9796~8.3374
Calais, France~50.9524769~1.8538446
Callao, Peru~-12.0864633~-77.2234463
Campha Anchorage, Viet Nam~21.0096~107.2729
Canakkale, Türkiye~40.0549886~26.9278292
Cape Town, South Africa~-33.9288301~18.4172197
Cape Verde, Cabo Verde~17.0555285~-25.1723049
Carr, USA~29.9473~-90.1296
Cartagena, Spain~37.5995046~-0.9835695
Casablanca, Morocco~33.5945144~-7.6200284
Castellon, Spain~40.2518568~-0.0615052
Castletownbere, Ireland~51.6514159~-9.9104925
Ceuta, Spain~35.894422~-5.3558174
Chaguaramas, Trinidad and Tobago~10.68279~-61.6392368
Charleston, SC, USA~32.7884~-79.9399
Chioggia, Italy~45.2179083~12.2270656
Chios Island, Greece~38.3758132~26.0646552
Chittagong, Bangladesh~22.3092980007081~91.8016923949359
Ciudad del Carmen, Campeche, Mexico~18.651739~-91.81492
Civitavecchia, Italy~42.0937524~11.7922462
Claxton Bay, Trinidad and Tobago~10.3534367~-61.4569401
Cochin, India~9.9679032~76.2444378
Colombo, Sri Lanka~6.9388614~79.8542005
Colon, Panama~9.3553005~-79.8974085
Conakry, Guinea~9.5171~-13.6998
Concepcion Bay, Chile~-36.6594776~-73.0361383
Congo~-2.9814344~23.8222636
Constanta, Romania~44.1767161~28.6507598
Constanța South - Agigea, Romania~44.0982512~28.653546
Cotonou Anchorage, Benin~6.3677~2.4253
Cotonou, Benin~6.3676953~2.4252507
